PULocationID,borough,zone,service_zone,origin_borough,destination_borough,borough_pair,route_id,route_name
26,Brooklyn,Borough Park,Boro Zone,Brooklyn,Bronx,Brooklyn->Bronx,5,corridor_05_brooklyn_to_bronx
29,Brooklyn,Brighton Beach,Boro Zone,Brooklyn,Bronx,Brooklyn->Bronx,5,corridor_05_brooklyn_to_bronx
33,Brooklyn,Brooklyn Heights,Boro Zone,Brooklyn,Bronx,Brooklyn->Bronx,5,corridor_05_brooklyn_to_bronx
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,Brooklyn,Bronx,Brooklyn->Bronx,5,corridor_05_brooklyn_to_bronx
35,Brooklyn,Brownsville,Boro Zone,Brooklyn,Bronx,Brooklyn->Bronx,5,corridor_05_brooklyn_to_bronx
36,Brooklyn,Bushwick North,Boro Zone,Brooklyn,Bronx,Brooklyn->Bronx,5,corridor_05_brooklyn_to_bronx
37,Brooklyn,Bushwick South,Boro Zone,Brooklyn,Bronx,Brooklyn->Bronx,5,corridor_05_brooklyn_to_bronx
39,Brooklyn,Canarsie,Boro Zone,Brooklyn,Bronx,Brooklyn->Bronx,5,corridor_05_brooklyn_to_bronx
40,Brooklyn,Carroll Gardens,Boro Zone,Brooklyn,Bronx,Brooklyn->Bronx,5,corridor_05_brooklyn_to_bronx
49,Brooklyn,Clinton Hill,Boro Zone,Brooklyn,Bronx,Brooklyn->Bronx,5,corridor_05_brooklyn_to_bronx
52,Brooklyn,Cobble Hill,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
54,Brooklyn,Columbia Street,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
55,Brooklyn,Coney Island,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
61,Brooklyn,Crown Heights North,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
62,Brooklyn,Crown Heights South,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
63,Brooklyn,Cypress Hills,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
67,Brooklyn,Dyker Heights,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
71,Brooklyn,East Flatbush/Farragut,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
76,Brooklyn,East New York,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
80,Brooklyn,East Williamsburg,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
85,Brooklyn,Erasmus,Boro Zone,Brooklyn,Manhattan,Brooklyn->Manhattan,6,corridor_06_brooklyn_to_manhattan
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
91,Brooklyn,Flatlands,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
97,Brooklyn,Fort Greene,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
106,Brooklyn,Gowanus,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
108,Brooklyn,Gravesend,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
111,Brooklyn,Green-Wood Cemetery,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
112,Brooklyn,Greenpoint,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
123,Brooklyn,Homecrest,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
133,Brooklyn,Kensington,Boro Zone,Brooklyn,Queens,Brooklyn->Queens,7,corridor_07_brooklyn_to_queens
